0.0 1.15 1.0
Linear 3 explicit
 0.000000 0.231 0.969 0.108
 0.010000 0.23055962 0.96825545 0.09320447
 0.020000 0.23007433 0.9690986 0.07739515
 0.030000 0.23034835 0.97046097 0.06146462
 0.040000 0.23043145 0.97232654 0.0454103
 0.050000 0.23002811 0.97392629 0.02988179
 0.060000 0.23021 0.97603361 0.01395391
 0.070000 0.23002489 0.97832088 -0.0016988100000000003
 0.080000 0.22962171 0.98007948 -0.016731
 0.090000 0.2280967 0.98122495 -0.03137791
 0.100000 0.22723211 0.98272164 -0.04563988
 0.110000 0.22615366 0.98467162 -0.05971138
 0.120000 0.22424974 0.98618532 -0.07345309
 0.130000 0.22158331 0.98819968 -0.08736628
 0.140000 0.2203113 0.99091762 -0.10082827
 0.150000 0.21784001 0.99408802 -0.11436361
 0.160000 0.21553216 0.99695695 -0.12743705
 0.170000 0.21411972 0.99937513 -0.14015784
 0.180000 0.2107856 1.00217471 -0.15301641
 0.190000 0.20945911 1.00400045 -0.16513997
 0.200000 0.20757695 1.00554498 -0.17720638
 0.210000 0.20584319 1.00706811 -0.18934289
 0.220000 0.20400111 1.00801947 -0.20112932
 0.230000 0.20181478 1.00881865 -0.21307107
 0.240000 0.19979592 1.00925427 -0.22493075
 0.250000 0.19761448 1.0095863 -0.23682088
 0.260000 0.19641717 1.00922649 -0.24849779
 0.270000 0.19522351 1.00835206 -0.26005877
 0.280000 0.19413556 1.00803247 -0.2714993
 0.290000 0.19327612 1.00586444 -0.28348323
 0.300000 0.19257979 1.00223945 -0.29387577
 0.310000 0.1917887 1.00117109 -0.30530492
 0.320000 0.19135303 0.99817863 -0.31643085
 0.330000 0.19085775 0.99642146 -0.32804099
 0.340000 0.19059163 0.99457746 -0.33981365
 0.350000 0.18988305 0.99210778 -0.35156029
 0.360000 0.18911232 0.98942084 -0.36317243
 0.370000 0.18941556 0.98718997 -0.37525314
 0.380000 0.18877547 0.98484477 -0.3875289
 0.390000 0.18908545 0.98243024 -0.39994939
 0.400000 0.18944453 0.98006862 -0.41256133
 0.410000 0.19003118 0.97780233 -0.42516185
 0.420000 0.19113807 0.97558092 -0.43786374
 0.430000 0.19265352 0.97383106 -0.45091425
 0.440000 0.19416887 0.97170627 -0.46379747
 0.450000 0.19578963 0.97022345 -0.47726925
 0.460000 0.19699038 0.96822696 -0.49076815
 0.470000 0.19804674 0.9665104 -0.50445459
 0.480000 0.19884448 0.96506798 -0.51859396
 0.490000 0.1994292 0.96401347 -0.53317474
 0.500000 0.19988061 0.96301451 -0.54784246
 0.510000 0.20033844 0.96212149 -0.56286612
 0.520000 0.20112839 0.96139656 -0.57769751
 0.530000 0.20244031 0.96144092 -0.59243364
 0.540000 0.20371836 0.96193394 -0.60671173
 0.550000 0.20481646 0.96456798 -0.62242771
 0.560000 0.20551407 0.96731951 -0.63778253
 0.570000 0.20605648 0.96998755 -0.65270025
 0.580000 0.20604235 0.97426938 -0.66846793
 0.590000 0.20633256 0.97713905 -0.68309409
 0.600000 0.20672317 0.98004451 -0.69722881
 0.610000 0.20750948 0.98342473 -0.7113421
 0.620000 0.2083384 0.98659623 -0.72513905
 0.630000 0.20943641 0.98994315 -0.73882317
 0.640000 0.21059341 0.9936155 -0.75241928
 0.650000 0.21203762 0.99748798 -0.76591505
 0.660000 0.21371885 1.00143544 -0.77917941
 0.670000 0.21540916 1.0045769 -0.79194948
 0.680000 0.21856834 1.00901374 -0.80529941
 0.690000 0.22211369 1.01204561 -0.81785259
 0.700000 0.22432905 1.01484213 -0.83052492
 0.710000 0.22717831 1.01752749 -0.84296352
 0.720000 0.23064929 1.01994689 -0.85528124
 0.730000 0.23240929 1.02169931 -0.86742142
 0.740000 0.23484329 1.02313228 -0.87959777
 0.750000 0.23808607 1.02395954 -0.89148884
 0.760000 0.23970722 1.02428356 -0.90339213
 0.770000 0.24115349 1.02444363 -0.91552111
 0.780000 0.24285969 1.02355057 -0.92723254
 0.790000 0.24452793 1.02221769 -0.93900113
 0.800000 0.24567457 1.02120396 -0.95101094
 0.810000 0.24665788 1.01990381 -0.96296917
 0.820000 0.24926393 1.01779834 -0.97399984
 0.830000 0.25078279 1.01618443 -0.98572943
 0.840000 0.25129878 1.01425345 -0.99753673
 0.850000 0.25152845 1.01203177 -1.00920657
 0.860000 0.25271011 1.00868705 -1.0205068
 0.870000 0.25257318 1.00621005 -1.03250804
 0.880000 0.25332973 1.00316679 -1.04409691
 0.890000 0.25383387 0.99996911 -1.05586879
 0.900000 0.25339746 0.99710356 -1.06804021
 0.910000 0.25264751 0.99429791 -1.08016282
 0.920000 0.25246025 0.99121718 -1.09241583
 0.930000 0.25239752 0.98792077 -1.10358658
 0.940000 0.25152975 0.98524671 -1.11611146
 0.950000 0.25063755 0.98284703 -1.1287915
 0.960000 0.24951813 0.98053448 -1.14224721
 0.970000 0.24866697 0.97834437 -1.15565666
 0.980000 0.24756714 0.97647955 -1.16936678
 0.990000 0.24653128 0.97472838 -1.1834422
 1.000000 0.24569136 0.97291902 -1.19816979
 1.010000 0.24499117 0.97176433 -1.21280509
 1.020000 0.24496441 0.97079609 -1.2277462
 1.030000 0.24437421 0.96983665 -1.24269024
 1.040000 0.24461835 0.96868242 -1.25787248
 1.050000 0.24368875 0.96751046 -1.27432987
 1.060000 0.24351478 0.96651616 -1.28965313
 1.070000 0.24311353 0.96724466 -1.30603265
 1.080000 0.24222136 0.96738513 -1.32195552
 1.090000 0.24104216 0.96860943 -1.33826386
 1.100000 0.23991693 0.97017923 -1.35399737
 1.110000 0.23896864 0.9725931 -1.37031509
 1.120000 0.23826304 0.97485287 -1.38557727
 1.130000 0.23718808 0.97701468 -1.40014116
 1.140000 0.23537733 0.97850363 -1.41453586
 1.150000 0.23402399 0.98054066 -1.42840978
