ModelMarker	ExperimentalMarker	Weight
LFHD	LFHD	8.97
RFHD	RFHD	8.97
LBHD	LBHD	8.97
RBHD	RBHD	8.97
C7	C7	5.96
T10	T10	5.96
CLAV	CLAV	5.96
STRN	STRN	5.96
LSHO	LSHO	5.26
LUPA		0
LELB	LELB	5.26
LFRM		0
LWRA	LWRA	5.26
LWRB	LWRB	5.26
LFIN		0
RSHO	RSHO	4.77
RUPA		0
RELB	RELB	4.77
RFRM		0
RWRA	RWRA	4.77
RWRB	RWRB	4.77
RFIN		0
LASI	LASI	5.36
RASI	RASI	5.36
LPSI	LPSI	5.36
RPSI	RPSI	5.36
LTHI		0
LKNE	LKNE	5.56
LTIB		0
LANK	LANK	5.56
LHEE	LHEE	5.56
LTOE	LTOE	5.56
RTHI		0
RKNE	RKNE	5.59
RTIB		0
RANK	RANK	5.59
RHEE	RHEE	5.59
RTOE	RTOE	5.59
RBTO	RBTO	5.59
LBTO	LBTO	5.56
RBAK		0
